Iideal     Itest
8.020000   8.020000  
1.430000   2.483169  
3.260000   4.449763  
6.760000   7.122666  
4.550000   3.681415  
7.930000   7.266999  
4.130000   3.920470  
1.850000   1.492784  
7.800000   7.239620  
8.130000   8.343322  
4.890000   6.334375  
1.530000   2.672778  
6.900000   7.175963  
7.190000   8.285667  
7.960000   7.392195  
7.360000   8.551246  
2.740000   2.365648  
3.290000   3.030616  
2.680000   1.914425  
4.190000   4.856232  
1.750000   2.029564  
8.390000   9.163788  
5.930000   4.480442  
6.730000   8.296041  
4.220000   2.657691  
2.480000   3.159501  
1.720000   0.020136  
4.540000   6.419924  
1.100000   1.412828  
5.310000   4.859046  
3.480000   3.690513  
1.100000   2.098964  
6.750000   7.898637  
6.960000   6.961220  
6.930000   7.196387  
4.850000   3.528694  
5.910000   6.078696  
8.490000   8.126386  
2.140000   0.504602  
5.990000   6.252981  
4.400000   5.851467  
5.870000   6.978299  
7.540000   7.504718  
4.590000   5.823025  
8.840000   10.268038 
3.610000   4.080944  
5.490000   6.422004  
6.970000   6.666009  
6.780000   5.917086  
7.700000   9.052062  
8.270000   9.109705  
6.450000   5.665197  
3.510000   1.441802  
2.440000   2.873332  
3.240000   3.518761  
5.760000   6.371464  
2.220000   3.142471  
6.360000   6.886544  
2.490000   2.942709  
5.590000   4.749507  
4.910000   5.111250  
3.840000   4.512766  
8.080000   9.517875  
1.170000   2.549557  
